loan_id,account_id,amount,duration,payments,status,year_,month_,day_,date_,fulldate,location,purpose
5657.0,A00003354,4980,12,415,A,2014,7,5,2014-07-05,2014-07-05,59,car
6234.0,A00006061,5148,12,429,C,2018,5,28,2018-05-28,2018-05-28,1,car
6699.0,A00008330,7656,24,319,A,2014,3,30,2014-03-30,2014-03-30,1,car
6688.0,A00008268,8616,24,359,C,2017,9,26,2017-09-26,2017-09-26,1,car
6312.0,A00006453,10944,36,304,C,2018,5,17,2018-05-17,2018-05-17,1,car
6019.0,A00005033,11400,12,950,A,2016,7,25,2016-07-25,2016-07-25,1,car
6229.0,A00006040,11736,24,489,A,2014,10,2,2014-10-02,2014-10-02,1,car
5103.0,A00000666,12540,12,1045,A,2017,11,28,2017-11-28,2017-11-28,64,debt_consolidation
6539.0,A00007559,12792,12,1066,C,2018,7,11,2018-07-11,2018-07-11,1,car
5718.0,A00003637,14028,12,1169,A,2017,9,1,2017-09-01,2017-09-01,1,car
6064.0,A00005215,14628,12,1219,A,2014,8,4,2014-08-04,2014-08-04,1,car
5897.0,A00004476,15192,24,633,A,2016,9,25,2016-09-25,2016-09-25,1,car
5599.0,A00003064,15420,12,1285,A,2015,3,21,2015-03-21,2015-03-21,18,car
6852.0,A00009140,16032,48,334,C,2018,11,10,2018-11-10,2018-11-10,1,car
6377.0,A00006792,17184,12,1432,A,2017,3,17,2017-03-17,2017-03-17,1,debt_consolidation
6297.0,A00006363,17508,12,1459,A,2014,10,25,2014-10-25,2014-10-25,1,car
5463.0,A00002413,17952,12,1496,C,2018,10,6,2018-10-06,2018-10-06,59,car
6942.0,A00009513,18324,12,1527,A,2017,7,16,2017-07-16,2017-07-16,1,car
5740.0,A00003752,18564,12,1547,A,2015,4,2,2015-04-02,2015-04-02,1,debt_consolidation
7230.0,A00010954,18720,60,312,C,2017,4,2,2017-04-02,2017-04-02,1,car
7034.0,A00010001,19044,36,529,C,2016,7,11,2016-07-11,2016-07-11,1,car
5651.0,A00003329,19248,12,1604,A,2017,12,8,2017-12-08,2017-12-08,59,car
5429.0,A00002268,20196,36,561,C,2016,7,18,2016-07-18,2016-07-18,59,car
5922.0,A00004580,20220,12,1685,A,2015,8,5,2015-08-05,2015-08-05,1,car
6043.0,A00005126,20352,48,424,C,2016,1,11,2016-01-11,2016-01-11,1,debt_consolidation
6591.0,A00007819,20832,48,434,C,2015,2,2,2015-02-02,2015-02-02,1,car
6721.0,A00008475,21072,24,878,A,2014,1,21,2014-01-21,2014-01-21,1,car
5980.0,A00004825,21396,12,1783,A,2015,8,18,2015-08-18,2015-08-18,1,car
6600.0,A00007861,21852,36,607,A,2015,10,8,2015-10-08,2015-10-08,1,car
7121.0,A00010364,21924,36,609,A,2013,11,10,2013-11-10,2013-11-10,1,debt_consolidation
7072.0,A00010148,22104,12,1842,C,2018,1,27,2018-01-27,2018-01-27,1,debt_consolidation
5147.0,A00000938,22260,60,371,C,2018,5,21,2018-05-21,2018-05-21,64,debt_consolidation
6052.0,A00005164,22356,36,621,C,2018,3,23,2018-03-23,2018-03-23,1,car
5382.0,A00002134,22932,36,637,C,2017,3,17,2017-03-17,2017-03-17,59,car
6354.0,A00006688,22968,36,638,C,2016,10,23,2016-10-23,2016-10-23,1,car
5754.0,A00003834,23052,12,1921,A,2014,9,28,2014-09-28,2014-09-28,1,home_improvement
6878.0,A00009242,23184,12,1932,A,2017,1,24,2017-01-24,2017-01-24,1,debt_consolidation
5384.0,A00002142,23328,12,1944,C,2018,3,7,2018-03-07,2018-03-07,59,car
7139.0,A00010445,23412,12,1951,C,2018,1,22,2018-01-22,2018-01-22,1,debt_consolidation
5229.0,A00001329,23520,12,1960,A,2017,9,6,2017-09-06,2017-09-06,64,home_improvement
5723.0,A00003674,23628,12,1969,A,2014,9,10,2014-09-10,2014-09-10,1,debt_consolidation
7187.0,A00010711,24180,60,403,C,2017,12,24,2017-12-24,2017-12-24,1,car
5130.0,A00000813,24312,12,2026,A,2014,5,11,2014-05-11,2014-05-11,64,debt_consolidation
5479.0,A00002486,24516,12,2043,A,2014,1,10,2014-01-10,2014-01-10,59,home_improvement
5584.0,A00002986,24792,24,1033,C,2017,12,6,2017-12-06,2017-12-06,18,debt_consolidation
6407.0,A00006930,25944,24,1081,A,2014,5,26,2014-05-26,2014-05-26,1,home_improvement
6242.0,A00006097,26208,36,728,C,2017,10,22,2017-10-22,2017-10-22,1,debt_consolidation
5005.0,A00000176,27456,12,2288,A,2017,4,10,2017-04-10,2017-04-10,1,debt_consolidation
6578.0,A00007765,27984,12,2332,A,2015,12,11,2015-12-11,2015-12-11,1,debt_consolidation
6227.0,A00006030,28248,24,1177,A,2015,3,4,2015-03-04,2015-03-04,1,debt_consolidation
6865.0,A00009199,29448,12,2454,B,2016,9,11,2016-09-11,2016-09-11,1,debt_consolidation
6676.0,A00008159,29784,24,1241,A,2015,6,13,2015-06-13,2015-06-13,1,debt_consolidation
5620.0,A00003161,30012,12,2501,C,2018,6,16,2018-06-16,2018-06-16,18,home_improvement
5311.0,A00001766,30060,60,501,C,2016,6,15,2016-06-15,2016-06-15,64,debt_consolidation
6501.0,A00007418,30276,12,2523,B,2016,4,29,2016-04-29,2016-04-29,1,home_improvement
4961.0,A00000019,30276,12,2523,B,2016,4,29,2016-04-29,2016-04-29,1,debt_consolidation
6502.0,A00007424,30276,12,2523,A,2017,12,8,2017-12-08,2017-12-08,1,debt_consolidation
4962.0,A00000025,30276,12,2523,A,2017,12,8,2017-12-08,2017-12-08,1,debt_consolidation
7200.0,A00010799,31140,60,519,C,2018,7,11,2018-07-11,2018-07-11,1,debt_consolidation
6185.0,A00005774,31176,24,1299,A,2015,11,28,2015-11-28,2015-11-28,1,debt_consolidation
5576.0,A00002962,31248,12,2604,A,2014,12,21,2014-12-21,2014-12-21,18,debt_consolidation
7110.0,A00010345,31260,12,2605,C,2018,1,21,2018-01-21,2018-01-21,1,home_improvement
6970.0,A00009677,31620,60,527,C,2017,6,17,2017-06-17,2017-06-17,1,debt_consolidation
6546.0,A00007607,31728,24,1322,A,2015,3,27,2015-03-27,2015-03-27,1,home_improvement
6130.0,A00005541,32640,48,680,C,2016,7,18,2016-07-18,2016-07-18,1,debt_consolidation
6758.0,A00008742,33144,12,2762,A,2017,7,29,2017-07-29,2017-07-29,1,debt_consolidation
5932.0,A00004626,33348,12,2779,A,2017,6,18,2017-06-18,2017-06-18,1,debt_consolidation
6764.0,A00008776,33984,48,708,C,2015,8,26,2015-08-26,2015-08-26,1,debt_consolidation
6310.0,A00006440,34572,12,2881,A,2017,6,17,2017-06-17,2017-06-17,1,debt_consolidation
6643.0,A00008038,35856,24,1494,C,2018,1,18,2018-01-18,2018-01-18,1,debt_consolidation
5207.0,A00001244,35904,48,748,C,2017,2,28,2017-02-28,2017-02-28,64,home_improvement
7008.0,A00009897,36168,12,3014,A,2015,9,22,2015-09-22,2015-09-22,1,debt_consolidation
6682.0,A00008225,36204,12,3017,D,2018,3,30,2018-03-30,2018-03-30,1,home_improvement
6929.0,A00009472,36396,12,3033,A,2015,5,8,2015-05-08,2015-05-08,1,debt_consolidation
