Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,3245258.85,57324.03,460290.60,927,0,918,0,1270,0,202,0,16,0.7530728526261516,2748
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,6112421.45,103336.16,45600.00,1217,0,286,0,1908,0,534,0,19,0.9530929316020338,4524
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,37929.59,28070.66,218949.27,49,0,10,0,36,0,41,0,3,0.8003929052513497,384
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,2110812.70,318590.30,2102717.53,727,0,236,0,765,0,412,0,13,0.9399121317821978,3660
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,931603.10,8658.65,2990.00,201,0,84,0,231,0,48,0,5,0.8789557207606802,300
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2892929.84,294566.55,2361484.19,634,0,187,0,1186,0,298,0,21,0.557441429339706,5976
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,1367291.40,270899.39,1884917.60,530,0,162,0,816,0,364,0,10,0.8519855667633018,3276
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,2687988.71,263197.52,1690679.14,540,0,141,0,734,0,177,0,6,0.9775804851211674,2904
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,2089796.91,307811.25,2114210.93,608,0,195,0,836,0,293,0,6,0.9130617490918224,3648
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,6794881.83,0.00,0,1553,0,276,0,2114,0,623,16,0.8989979481629711,7464
