CS_SOLD_DATE_SK,CS_SOLD_TIME_SK,CS_SHIP_DATE_SK,CS_BILL_CUSTOMER_SK,CS_BILL_CDEMO_SK,CS_BILL_HDEMO_SK,CS_BILL_ADDR_SK,CS_SHIP_CUSTOMER_SK,CS_SHIP_CDEMO_SK,CS_SHIP_HDEMO_SK,CS_SHIP_ADDR_SK,CS_CALL_CENTER_SK,CS_CATALOG_PAGE_SK,CS_SHIP_MODE_SK,CS_WAREHOUSE_SK,CS_ITEM_SK,CS_PROMO_SK,CS_ORDER_NUMBER,CS_QUANTITY,CS_WHOLESALE_COST,CS_LIST_PRICE,CS_SALES_PRICE,CS_EXT_DISCOUNT_AMT,CS_EXT_SALES_PRICE,CS_EXT_WHOLESALE_COST,CS_EXT_LIST_PRICE,CS_EXT_TAX,CS_COUPON_AMT,CS_EXT_SHIP_COST,CS_NET_PAID,CS_NET_PAID_INC_TAX,CS_NET_PAID_INC_SHIP,CS_NET_PAID_INC_SHIP_TAX,CS_NET_PROFIT
2450815,38212,2450886,153,1822764,5775,986,153,1822764,5775,986,1,62,3,1,1286,1,1,47,27.70,44.32,42.99,62.51,2020.53,1301.90,2083.04,101.02,0.00,1041.52,2020.53,2121.55,3062.05,3163.07,718.63
2450815,38212,2450846,153,1822764,5775,986,153,1822764,5775,986,1,31,8,1,476,3,1,20,87.55,260.89,153.92,2139.40,3078.40,1751.00,5217.80,71.41,1292.92,1356.60,1785.48,1856.89,3142.08,3213.49,34.48
2450815,38212,2450868,153,1822764,5775,986,153,1822764,5775,986,1,76,2,1,1558,1,1,19,69.86,88.72,29.27,1129.55,556.13,1327.34,1685.68,33.36,0.00,168.53,556.13,589.49,724.66,758.02,-771.21
2450815,38212,2450851,153,1822764,5775,986,153,1822764,5775,986,1,89,15,1,961,2,1,50,70.00,205.10,188.69,820.50,9434.50,3500.00,10255.00,377.38,0.00,4307.00,9434.50,9811.88,13741.50,14118.88,5934.50
2450815,29485,2450904,601,797995,6189,583,601,797995,6189,583,2,64,18,1,115,2,2,56,67.54,166.82,18.35,8314.32,1027.60,3782.24,9341.92,0.00,0.00,3736.32,1027.60,1027.60,4763.92,4763.92,-2754.64
2450815,29485,2450890,601,797995,6189,583,601,797995,6189,583,2,75,8,1,110,2,2,88,20.08,60.03,20.41,3486.56,1796.08,1767.04,5282.64,13.82,1598.51,1056.00,197.57,211.39,1253.57,1267.39,-1569.47
2450815,29485,2450849,601,797995,6189,583,601,797995,6189,583,2,39,4,1,146,3,2,31,40.88,51.91,6.22,1416.39,192.82,1267.28,1609.21,11.56,0.00,321.78,192.82,204.38,514.60,526.16,-1074.46
2450815,29485,2450889,601,797995,6189,583,601,797995,6189,583,2,49,8,1,1744,3,2,100,49.56,137.77,5.51,13226.00,551.00,4956.00,13777.00,0.00,0.00,3306.00,551.00,551.00,3857.00,3857.00,-4405.00
2450815,29485,2450868,601,797995,6189,583,601,797995,6189,583,2,69,17,1,236,3,2,30,72.82,88.84,71.07,533.10,2132.10,2184.60,2665.20,21.32,0.00,133.20,2132.10,2153.42,2265.30,2286.62,-52.50
2450815,29485,2450831,601,797995,6189,583,601,797995,6189,583,2,64,1,1,482,1,2,40,94.56,277.06,2.77,10971.60,110.80,3782.40,11082.40,2.21,0.00,664.80,110.80,113.01,775.60,777.81,-3671.60
