HD_DEMO_SK,HD_INCOME_BAND_SK,HD_BUY_POTENTIAL,HD_DEP_COUNT,HD_VEHICLE_COUNT
1,2,0-500,0,0
2,3,0-500,0,0
3,4,0-500,0,0
4,5,0-500,0,0
5,6,0-500,0,0
6,7,0-500,0,0
7,8,0-500,0,0
8,9,0-500,0,0
9,10,0-500,0,0
10,11,0-500,0,0
11,12,0-500,0,0
12,13,0-500,0,0
13,14,0-500,0,0
14,15,0-500,0,0
15,16,0-500,0,0
16,17,0-500,0,0
17,18,0-500,0,0
18,19,0-500,0,0
19,20,0-500,0,0
20,1,501-1000,0,0
21,2,501-1000,0,0
22,3,501-1000,0,0
23,4,501-1000,0,0
24,5,501-1000,0,0
25,6,501-1000,0,0
26,7,501-1000,0,0
27,8,501-1000,0,0
28,9,501-1000,0,0
29,10,501-1000,0,0
30,11,501-1000,0,0
31,12,501-1000,0,0
32,13,501-1000,0,0
33,14,501-1000,0,0
34,15,501-1000,0,0
35,16,501-1000,0,0
36,17,501-1000,0,0
37,18,501-1000,0,0
38,19,501-1000,0,0
39,20,501-1000,0,0
40,1,1001-5000,0,0
41,2,1001-5000,0,0
42,3,1001-5000,0,0
43,4,1001-5000,0,0
44,5,1001-5000,0,0
45,6,1001-5000,0,0
46,7,1001-5000,0,0
47,8,1001-5000,0,0
48,9,1001-5000,0,0
49,10,1001-5000,0,0
50,11,1001-5000,0,0
51,12,1001-5000,0,0
52,13,1001-5000,0,0
53,14,1001-5000,0,0
54,15,1001-5000,0,0
55,16,1001-5000,0,0
56,17,1001-5000,0,0
57,18,1001-5000,0,0
58,19,1001-5000,0,0
59,20,1001-5000,0,0
60,1,5001-10000,0,0
61,2,5001-10000,0,0
62,3,5001-10000,0,0
63,4,5001-10000,0,0
64,5,5001-10000,0,0
65,6,5001-10000,0,0
66,7,5001-10000,0,0
67,8,5001-10000,0,0
68,9,5001-10000,0,0
69,10,5001-10000,0,0
70,11,5001-10000,0,0
71,12,5001-10000,0,0
72,13,5001-10000,0,0
73,14,5001-10000,0,0
74,15,5001-10000,0,0
75,16,5001-10000,0,0
76,17,5001-10000,0,0
77,18,5001-10000,0,0
78,19,5001-10000,0,0
79,20,5001-10000,0,0
80,1,>10000,0,0
81,2,>10000,0,0
82,3,>10000,0,0
83,4,>10000,0,0
84,5,>10000,0,0
85,6,>10000,0,0
86,7,>10000,0,0
87,8,>10000,0,0
88,9,>10000,0,0
89,10,>10000,0,0
90,11,>10000,0,0
91,12,>10000,0,0
92,13,>10000,0,0
93,14,>10000,0,0
94,15,>10000,0,0
95,16,>10000,0,0
96,17,>10000,0,0
97,18,>10000,0,0
98,19,>10000,0,0
99,20,>10000,0,0
