SS_SOLD_DATE_SK,SS_SOLD_TIME_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_CDEMO_SK,SS_HDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_TICKET_NUMBER,SS_QUANTITY,SS_WHOLESALE_COST,SS_LIST_PRICE,SS_SALES_PRICE,SS_EXT_DISCOUNT_AMT,SS_EXT_SALES_PRICE,SS_EXT_WHOLESALE_COST,SS_EXT_LIST_PRICE,SS_EXT_TAX,SS_COUPON_AMT,SS_NET_PAID,SS_NET_PAID_INC_TAX,SS_NET_PROFIT
2451813,65495,1091,6,591617,3428,839,2,2,1,79,11.41,18.71,2.80,99.54,221.20,901.39,1478.09,6.08,99.54,121.66,127.74,-779.73
2451813,65495,1478,6,591617,3428,839,2,1,1,37,63.63,101.17,41.47,46.03,1534.39,2354.31,3743.29,59.53,46.03,1488.36,1547.89,-865.95
2451813,65495,1961,6,591617,3428,839,2,1,1,99,80.52,137.68,83.98,0.00,8314.02,7971.48,13630.32,0.00,0.00,8314.02,8314.02,342.54
2451813,65495,470,6,591617,3428,839,2,1,1,14,57.37,76.30,6.10,0.00,85.40,803.18,1068.20,0.00,0.00,85.40,85.40,-717.78
2451813,65495,404,6,591617,3428,839,2,2,1,100,25.08,36.86,0.73,0.00,73.00,2508.00,3686.00,6.57,0.00,73.00,79.57,-2435.00
2451813,65495,1813,6,591617,3428,839,2,2,1,91,93.48,108.43,93.24,0.00,8484.84,8506.68,9867.13,254.54,0.00,8484.84,8739.38,-21.84
2451813,65495,1439,6,591617,3428,839,2,1,1,5,10.68,15.91,6.68,0.00,33.40,53.40,79.55,2.33,0.00,33.40,35.73,-20.00
2451813,65495,203,6,591617,3428,839,2,3,1,72,84.72,111.83,61.50,0.00,4428.00,6099.84,8051.76,177.12,0.00,4428.00,4605.12,-1671.84
2451813,65495,1837,6,591617,3428,839,2,1,1,14,11.54,11.77,0.00,0.00,0.00,161.56,164.78,0.00,0.00,0.00,0.00,-161.56
2451813,65495,1484,6,591617,3428,839,2,3,1,58,4.57,5.34,3.52,0.00,204.16,265.06,309.72,0.00,0.00,204.16,204.16,-60.90
2451813,65495,1901,6,591617,3428,839,2,1,1,44,31.07,54.99,24.19,0.00,1064.36,1367.08,2419.56,85.14,0.00,1064.36,1149.50,-302.72
2451813,65495,257,6,591617,3428,839,2,1,1,88,52.41,63.94,49.23,0.00,4332.24,4612.08,5626.72,259.93,0.00,4332.24,4592.17,-279.84
2451813,65495,365,6,591617,3428,839,2,2,1,50,67.71,126.61,87.36,0.00,4368.00,3385.50,6330.50,349.44,0.00,4368.00,4717.44,982.50
2451813,65495,989,6,591617,3428,839,2,3,1,65,27.16,52.14,41.19,0.00,2677.35,1765.40,3389.10,214.18,0.00,2677.35,2891.53,911.95
2451524,75316,61,284,1712478,4672,266,2,1,2,65,93.86,158.62,34.89,0.00,2267.85,6100.90,10310.30,45.35,0.00,2267.85,2313.20,-3833.05
2451524,75316,1669,284,1712478,4672,266,2,2,2,93,35.87,49.14,15.23,0.00,1416.39,3335.91,4570.02,113.31,0.00,1416.39,1529.70,-1919.52
2451524,75316,686,284,1712478,4672,266,2,3,2,30,2.27,3.83,1.11,0.00,33.30,68.10,114.90,0.00,0.00,33.30,33.30,-34.80
2451524,75316,1142,284,1712478,4672,266,2,2,2,58,53.09,58.39,7.59,0.00,440.22,3079.22,3386.62,0.00,0.00,440.22,440.22,-2639.00
,75316,1771,,,4672,,2,,2,,17.12,19.85,,,,,,19.07,,,495.84,
2451524,75316,1336,284,1712478,4672,266,2,3,2,79,88.02,128.50,69.39,4549.90,5481.81,6953.58,10151.50,83.87,4549.90,931.91,1015.78,-6021.67
2451524,75316,1030,284,1712478,4672,266,2,3,2,25,74.26,89.11,35.64,0.00,891.00,1856.50,2227.75,8.91,0.00,891.00,899.91,-965.50
2451524,75316,1330,284,1712478,4672,266,2,3,2,78,65.71,88.70,23.06,341.74,1798.68,5125.38,6918.60,131.12,341.74,1456.94,1588.06,-3668.44
2451524,75316,1792,284,1712478,4672,266,2,2,2,88,64.43,79.89,41.54,0.00,3655.52,5669.84,7030.32,146.22,0.00,3655.52,3801.74,-2014.32
2451524,75316,565,284,1712478,4672,266,2,3,2,49,6.55,7.86,7.46,0.00,365.54,320.95,385.14,0.00,0.00,365.54,365.54,44.59
