WR_RETURNED_DATE_SK,WR_RETURNED_TIME_SK,WR_ITEM_SK,WR_REFUNDED_CUSTOMER_SK,WR_REFUNDED_CDEMO_SK,WR_REFUNDED_HDEMO_SK,WR_REFUNDED_ADDR_SK,WR_RETURNING_CUSTOMER_SK,WR_RETURNING_CDEMO_SK,WR_RETURNING_HDEMO_SK,WR_RETURNING_ADDR_SK,WR_WEB_PAGE_SK,WR_REASON_SK,WR_ORDER_NUMBER,WR_RETURN_QUANTITY,WR_RETURN_AMT,WR_RETURN_TAX,WR_RETURN_AMT_INC_TAX,WR_FEE,WR_RETURN_SHIP_COST,WR_REFUNDED_CASH,WR_REVERSED_CHARGE,WR_ACCOUNT_CREDIT,WR_NET_LOSS
2451653,7022,1750,224,1011635,3446,57,224,1011635,3446,57,1,1,1,10,698.20,13.96,712.16,18.63,820.30,300.22,382.06,15.92,852.89
2451627,64915,925,811,18405,199,793,811,18405,199,793,1,1,1,47,1248.79,49.95,1298.74,61.81,709.23,262.24,128.25,858.30,820.99
2452798,,1455,,31639,,790,,31639,2038,790,,1,2,11,,25.52,,,16.72,,16.36,165.47,
2452243,23325,735,687,663037,1234,984,687,663037,1234,984,1,1,5,33,1820.94,54.62,1875.56,70.16,1000.23,1802.73,14.56,3.65,1125.01
2452305,73981,1909,552,1104998,2244,90,552,1104998,2244,90,1,1,5,18,82.08,7.38,89.46,35.63,1342.26,38.57,19.14,24.37,1385.27
2451288,74891,1897,650,1309189,128,420,650,1309189,128,420,1,1,7,16,1956.00,156.48,2112.48,22.56,221.76,215.16,504.84,1236.00,400.80
2451337,44242,469,377,1291615,653,891,377,1291615,653,891,1,1,7,3,134.40,0.00,134.40,78.06,108.78,108.86,15.06,10.48,186.84
2451278,48347,542,887,1781163,3486,762,887,1781163,3486,762,2,1,7,43,520.30,20.81,541.11,54.02,3468.38,504.69,14.36,1.25,3543.21
2452098,72741,109,559,1010209,2812,415,559,1010209,2812,415,1,1,10,4,79.68,2.39,82.07,11.40,54.52,58.16,1.50,20.02,68.31
2452065,46137,629,204,217410,1416,222,204,217410,1416,222,1,1,11,28,707.00,28.28,735.28,16.84,382.20,424.20,248.86,33.94,427.32
2451936,25850,1364,623,1546796,816,389,623,1546796,816,389,1,1,11,6,708.66,21.25,729.91,25.19,146.10,474.80,144.99,88.87,192.54
2452508,71077,925,10,1589848,6933,371,10,1589848,6933,371,1,1,12,26,528.84,37.01,565.85,90.97,237.12,449.51,23.00,56.33,365.10
2451590,30553,1928,36,1376937,2285,586,36,1376937,2285,586,1,1,13,16,417.60,25.05,442.65,22.13,539.36,50.11,128.62,238.87,586.54
2452495,,907,758,,2243,,758,1696824,,,1,,14,4,,,,11.84,,9.39,,,
2452566,67292,1583,337,970065,593,321,337,970065,593,321,1,1,14,5,219.85,15.38,235.23,28.94,233.90,147.29,42.81,29.75,278.22
,,926,,,2358,,932,418645,,,,,15,24,,,,54.71,62.40,,129.49,60.94,143.37
2452567,26030,1675,543,1118206,6669,732,543,1118206,6669,732,1,1,16,40,1479.60,103.57,1583.17,4.99,856.80,665.82,219.72,594.06,965.36
2452569,29129,1879,888,217580,5919,658,888,217580,5919,658,1,1,17,10,69.00,6.21,75.21,60.35,19.70,31.05,11.38,26.57,86.26
2451692,37442,200,623,1176118,1613,108,623,1176118,1613,108,1,1,18,11,1628.66,32.57,1661.23,13.11,506.22,1237.78,355.70,35.18,551.90
2451495,70505,793,84,1360384,4437,537,84,1360384,4437,537,1,1,18,23,447.58,17.90,465.48,30.56,302.22,331.20,51.20,65.18,350.68
2451396,74839,364,,,,,767,,3439,775,,1,22,,,0.00,,,75.90,485.00,,,
2451271,72837,188,141,718131,2368,405,141,718131,2368,405,2,1,22,30,247.20,9.88,257.08,23.57,717.30,229.89,15.05,2.26,750.75
2451430,,313,764,,,,764,1060754,5497,,,1,22,79,,0.00,0.00,92.68,,,0.00,0.00,
2452236,23926,997,618,8492,4766,440,618,8492,4766,440,1,1,24,9,107.46,3.22,110.68,54.67,33.03,33.31,68.21,5.94,90.92
2452273,38436,1815,71,1421648,5454,396,71,1421648,5454,396,1,1,24,8,252.08,15.12,267.20,62.43,12.72,133.60,29.62,88.86,90.27
2451372,50248,724,691,813091,5891,91,691,813091,5891,91,1,1,26,77,1088.78,43.55,1132.33,1.05,3811.50,163.31,397.95,527.52,3856.10
2451514,46416,1688,970,854030,2690,550,970,854030,2690,550,1,1,26,10,362.50,3.62,366.12,68.99,164.80,290.00,60.17,12.33,237.41
2451529,45968,500,943,58420,2297,421,943,58420,2297,421,1,1,26,35,340.20,13.60,353.80,50.62,453.60,336.79,2.25,1.16,517.82
2450982,37442,367,331,1565742,5600,258,331,1565742,5600,258,1,1,27,4,19.20,1.72,20.92,63.20,41.36,4.60,10.22,4.38,106.28
2450976,42382,274,968,169725,1529,286,968,169725,1529,286,1,1,27,11,380.49,15.21,395.70,76.70,77.66,144.58,11.79,224.12,169.57
2452492,36787,875,839,1060269,5299,82,839,1060269,5299,82,1,1,29,11,400.84,20.04,420.88,16.27,99.11,308.64,18.44,73.76,135.42
2451423,75368,1612,553,1687614,2228,289,553,1687614,2228,289,1,1,30,19,168.15,3.36,171.51,94.69,107.54,117.70,42.88,7.57,205.59
2451476,48229,80,962,12631,2900,369,962,12631,2900,369,1,1,30,5,18.20,0.54,18.74,11.66,8.25,2.54,5.79,9.87,20.45
,43497,422,,1006429,3340,251,318,1006429,3340,,,,32,7,470.26,,484.36,99.14,,470.26,0.00,,
2451486,253,1078,754,998787,3867,347,754,998787,3867,347,1,1,32,2,98.40,8.85,107.25,16.33,131.22,51.16,27.87,19.37,156.40
2451420,61938,1816,841,1808855,5916,330,841,1808855,5916,330,1,1,32,44,4496.36,314.74,4811.10,5.38,1570.80,4316.50,151.08,28.78,1890.92
2451622,68694,1327,758,1477303,5095,440,758,1477303,5095,440,1,1,33,5,1231.20,24.62,1255.82,13.24,580.20,295.48,823.43,112.29,618.06
2451734,55182,346,341,914970,5999,428,341,914970,5999,428,1,1,33,7,88.34,5.30,93.64,24.45,109.27,6.18,6.57,75.59,139.02
2451697,47575,1963,237,1089705,4773,841,237,1089705,4773,841,1,1,33,3,164.85,1.64,166.49,3.49,57.06,6.59,137.68,20.58,62.19
2451615,73881,1663,870,705124,5978,32,870,705124,5978,32,2,1,34,32,4588.16,183.52,4771.68,51.92,2136.96,917.63,3523.70,146.83,2372.40
2452120,67792,1789,39,1600609,4132,502,39,1600609,4132,502,2,1,36,16,496.96,34.78,531.74,71.96,773.12,134.17,261.20,101.59,879.86
2452135,32975,997,233,680344,3655,766,233,680344,3655,766,2,1,36,33,1560.57,0.00,1560.57,73.33,845.46,1201.63,326.63,32.31,918.79
2452038,60285,1243,96,1039516,6936,109,96,1039516,6936,109,2,1,36,91,15813.07,632.52,16445.59,65.73,8008.91,13441.10,1352.02,1019.95,8707.16
2451873,61736,823,984,1914824,7017,257,984,1914824,7017,257,2,1,38,54,2243.70,179.49,2423.19,60.32,1075.68,628.23,1373.14,242.33,1315.49
2451812,17353,1601,13,691848,1836,624,13,691848,1836,624,1,1,38,11,15.18,0.00,15.18,42.63,5.50,9.71,1.53,3.94,48.13
2452054,39091,1411,582,1892903,2624,392,582,1892903,2624,392,1,1,39,27,3078.54,30.78,3109.32,79.71,1835.19,1015.91,453.77,1608.86,1945.68
2452413,27263,671,730,781278,1291,963,730,781278,1291,963,1,1,40,13,1286.22,51.44,1337.66,97.11,95.16,424.45,17.23,844.54,243.71
