WS_SOLD_DATE_SK,WS_SOLD_TIME_SK,WS_SHIP_DATE_SK,WS_ITEM_SK,WS_BILL_CUSTOMER_SK,WS_BILL_CDEMO_SK,WS_BILL_HDEMO_SK,WS_BILL_ADDR_SK,WS_SHIP_CUSTOMER_SK,WS_SHIP_CDEMO_SK,WS_SHIP_HDEMO_SK,WS_SHIP_ADDR_SK,WS_WEB_PAGE_SK,WS_WEB_SITE_SK,WS_SHIP_MODE_SK,WS_WAREHOUSE_SK,WS_PROMO_SK,WS_ORDER_NUMBER,WS_QUANTITY,WS_WHOLESALE_COST,WS_LIST_PRICE,WS_SALES_PRICE,WS_EXT_DISCOUNT_AMT,WS_EXT_SALES_PRICE,WS_EXT_WHOLESALE_COST,WS_EXT_LIST_PRICE,WS_EXT_TAX,WS_COUPON_AMT,WS_EXT_SHIP_COST,WS_NET_PAID,WS_NET_PAID_INC_TAX,WS_NET_PAID_INC_SHIP,WS_NET_PAID_INC_SHIP_TAX,WS_NET_PROFIT
2451383,73313,2451482,1819,74,596485,1096,907,919,41329,1140,351,2,1,4,1,3,1,57,33.59,59.45,38.04,1220.37,2168.28,1914.63,3388.65,50.95,1149.18,575.70,1019.10,1070.05,1594.80,1645.75,-895.53
2451383,73313,2451411,1850,74,596485,1096,907,919,41329,1140,351,1,1,3,1,1,1,38,29.83,48.92,26.41,855.38,1003.58,1133.54,1858.96,30.10,0.00,910.86,1003.58,1033.68,1914.44,1944.54,-129.96
2451383,73313,2451413,805,74,596485,1096,907,919,41329,1140,351,2,1,10,1,3,1,32,49.72,107.89,97.10,345.28,3107.20,1591.04,3452.48,124.28,0.00,828.48,3107.20,3231.48,3935.68,4059.96,1516.16
2451383,73313,2451393,409,74,596485,1096,907,919,41329,1140,351,2,2,6,1,3,1,65,69.18,112.07,22.41,5827.90,1456.65,4496.70,7284.55,29.13,0.00,2476.50,1456.65,1485.78,3933.15,3962.28,-3040.05
2451383,73313,2451502,169,74,596485,1096,907,919,41329,1140,351,1,2,2,1,3,1,58,36.62,41.38,16.13,1464.50,935.54,2123.96,2400.04,84.19,0.00,167.62,935.54,1019.73,1103.16,1187.35,-1188.42
2451383,73313,2451421,1564,74,596485,1096,907,919,41329,1140,351,2,2,2,1,2,1,90,72.05,161.39,27.43,12056.40,2468.70,6484.50,14525.10,74.06,0.00,4647.60,2468.70,2542.76,7116.30,7190.36,-4015.80
2451383,73313,2451457,1750,74,596485,1096,907,919,41329,1140,351,1,2,16,1,2,1,15,83.92,174.55,69.82,1570.95,1047.30,1258.80,2618.25,20.94,0.00,392.70,1047.30,1068.24,1440.00,1460.94,-211.50
2451383,73313,2451430,1873,74,596485,1096,907,919,41329,1140,351,1,2,14,1,1,1,16,45.27,128.56,68.13,966.88,1090.08,724.32,2056.96,87.20,0.00,370.24,1090.08,1177.28,1460.32,1547.52,365.76
2451383,73313,2451458,925,74,596485,1096,907,919,41329,1140,351,1,2,8,1,1,1,54,53.45,60.39,26.57,1826.28,1434.78,2886.30,3261.06,48.78,215.21,488.70,1219.57,1268.35,1708.27,1757.05,-1666.73
2452625,34964,2452702,451,296,436090,2684,278,428,1487225,3907,901,1,1,16,1,3,2,47,49.64,68.99,12.41,2659.26,583.27,2333.08,3242.53,52.49,0.00,1134.58,583.27,635.76,1717.85,1770.34,-1749.81
2452625,34964,2452638,1477,296,436090,2684,278,428,1487225,3907,901,1,1,16,1,2,2,12,7.24,12.16,11.91,3.00,142.92,86.88,145.92,10.00,0.00,29.16,142.92,152.92,172.08,182.08,56.04
2452625,34964,2452645,1737,296,436090,2684,278,428,1487225,3907,901,2,1,7,1,3,2,6,45.21,67.36,30.31,222.30,181.86,271.26,404.16,16.36,0.00,185.88,181.86,198.22,367.74,384.10,-89.40
2452625,34964,2452690,1794,296,436090,2684,278,428,1487225,3907,901,1,2,3,1,3,2,43,9.62,13.08,9.02,174.58,387.86,413.66,562.44,19.39,0.00,117.82,387.86,407.25,505.68,525.07,-25.80
2452625,34964,2452707,690,296,436090,2684,278,428,1487225,3907,901,1,2,1,1,1,2,57,35.95,62.55,43.78,1069.89,2495.46,2049.15,3565.35,224.59,0.00,962.16,2495.46,2720.05,3457.62,3682.21,446.31
